iter	Passed	Remaining
405	6147	24135
406	6163	24122
407	6176	24101
408	6190	24081
409	6204	24062
410	6221	24054
411	6237	24041
412	6253	24028
413	6267	24008
414	6281	23990
415	6296	23976
416	6311	23957
417	6327	23948
418	6342	23932
419	6356	23911
420	6372	23899
421	6387	23884
422	6401	23864
423	6418	23857
424	6434	23844
425	6447	23821
426	6461	23803
427	6476	23787
428	6489	23763
429	6504	23749
430	6519	23732
431	6536	23724
432	6550	23705
433	6568	23700
434	6583	23685
435	6603	23688
436	6619	23676
437	6639	23677
438	6655	23664
439	6669	23646
440	6683	23628
441	6697	23607
442	6713	23596
443	6726	23574
444	6741	23558
445	6755	23539
446	6770	23521
447	6785	23505
448	6800	23490
449	6815	23476
450	6830	23458
451	6844	23440
452	6859	23425
453	6874	23408
454	6887	23387
455	6904	23377
456	6919	23361
457	6933	23343
458	6949	23330
459	6962	23309
460	6975	23287
461	6989	23266
462	7004	23252
463	7018	23233
464	7032	23213
465	7050	23210
466	7067	23199
467	7083	23189
468	7097	23169
469	7112	23152
